Disease,Symptoms
Lung Cancer,"Difficulty swallowing, deep vein thrombosis and paraneoplastic syndromes in combination with facial swelling, chest pain and bone pain concurrent with shortness of breath, weight loss and coughing up blood linked to weakness and persistent cough, paroxysmal."
Pleural Effusion,"Mild chest pain, significant difficulty breathing when lying down, mild shortness of breath, substantial fever, mild dry cough, orthopnea, malaise, stony dullness, cyclical, heightened by position changes."
Lung Cancer,Shortness of breath in conjunction with persistent cough concurrent with loss of appetite together with chest pain accompanied by bone pain.
Pneumonia,"Sudden onset, remarkably severe fever, severe shortness of breath, severe difficulty breathing, severe cough, severe chest pain, productive cough, severe sweating."
Heart Failure,"Swollen ankles and chest congestion together with crackling lung sounds and swollen legs in conjunction with shortness of breath and nausea, continuous, aggravated by coughing."
COPD,"Severe chest tightness, difficulty breathing, hyperinflated lungs, distant heart sounds, recurring pneumonia, bluish lips or fingernails with mild pursed-lip breathing."
Lung Cancer,"Severe chest pain, weight loss, bone pain, unexplained fever with mild shortness of breath, fatigue, hoarseness, facial swelling."
Pleural Effusion,"Initially presenting with chest pain, difficulty breathing when lying down, shortness of breath, Ultimately developing rapid heart rate."
COVID-19 Pneumonia,"Nausea, ageusia and dry cough coinciding with myalgia, loss of taste and fever (significantly acute) along with loss of smell, headache and chest pain."
Tuberculosis,"Recurring, concerning weight loss, commonly concerning persistent cough, concerning bone pain, severe cachexia, limiting mobility."
Heart Failure,"Progressive, obviously debilitating swollen legs, obviously moderate fatigue, shortness of breath, moderate swollen ankles, rapid heartbeat, heart palpitations, occasionally moderate irregular heartbeat, significant difficulty breathing when lying down."
COVID-19 Pneumonia,"Initially presenting with loss of smell, rapid deterioration, loss of taste, Subsequently developing confusion, nasal congestion."
Pleural Effusion,"Recurring, worsening fever, substantial chest pain, shortness of breath, substantial difficulty breathing when lying down, substantial decreased breath sounds, typically worsening unilateral symptoms, notably substantial inability to lie flat."
Pleural Effusion,"Severe difficulty breathing when lying down, dry cough, shortness of breath, rapid breathing with mild fever, chest pain, hindering exercise tolerance."
Lung Cancer,"Worsening coughing up blood, correlated with concerning persistent cough, deep vein thrombosis, difficulty swallowing, neck swelling, affecting quality of life."
Tuberculosis,"Persistent fever, persistent night sweats, significant weight loss, persistent coughing up blood, persistent persistent cough, moderate chills, weakness, moderate bone pain, significant cachexia, moderate enlarged lymph nodes, pleural effusion, relapsing."
COPD,"Chest tightness and persistent cough connected with shortness of breath and cyanosis (significantly acute exacerbation) accompanied by difficulty breathing and hyperinflated lungs correlated with prolonged expiration and swollen ankles (significantly acute exacerbation), worse after meals."
Pneumothorax,"At rest, racing heart rate, rapid breathing, obviously sharp sudden sharp chest pain, sharp shortness of breath, obviously sharp hypoxemia, notably intense hyperresonance, evidently sudden pain in shoulder."
Heart Failure,"Refractory, generally debilitating swollen legs, mainly persistent shortness of breath, rapid heartbeat, acute fatigue, persistent nausea."
COPD,"End-stage wheezing (remarkably end-stage), linked to during activity difficulty breathing, end-stage shortness of breath, bluish lips or fingernails."
Pneumonia,"Initially presenting with fatigue, productive cough, shortness of breath, Later developing yellow phlegm, wheezing, chills."
Tuberculosis,"Weight loss, significant persistent cough, chronic night sweats, concerning coughing up blood, fever, fatigue, significant anemia symptoms, reducing stamina, chronic."
COVID-19 Pneumonia,"Rapidly worsening, acute loss of taste, obviously persistent dry cough, shortness of breath, characteristically moderate loss of smell, characteristically acute sore throat, moderate ground glass opacities on imaging, chest pressure, exacerbated by cold air."
Tuberculosis,"Severe coughing up blood, fever, persistent cough, night sweats, unintended weight loss, anemia symptoms with mild weight loss, pain with breathing, hemoptysis."
Heart Failure,"Swollen legs and fatigue coupled with weight gain from fluid and irregular heartbeat (apparently moderate) in conjunction with shortness of breath and paroxysmal nocturnal dyspnea simultaneous with swollen ankles and rapid heartbeat, relapsing."
Heart Failure,"Initially presenting with swollen ankles, shortness of breath, decreased alertness, Ultimately developing fatigue, rapid heartbeat, swollen legs."
Tuberculosis,"Severe fever, night sweats, cachexia, anemia symptoms with mild feverish at night, weakness."
COVID-19 Pneumonia,"Loss of taste, critical shortness of breath, progressive loss of smell, chest pressure, anosmia, headache, chest pain, skin rash, worsened by pollution, subacute."
Tuberculosis,"Initially presenting with weight loss, persistent cough, fatigue, Subsequently developing night sweats, reduced lung function, blood in mucus."
Tuberculosis,"Severe persistent cough, night sweats, weight loss, pleural effusion, fatigue, pale skin with mild coughing up blood, fever, loss of appetite, unintended weight loss."
Pneumothorax,"Initially presenting with shortness of breath, rapid breathing, absent breath sounds, Later developing anxiety, subcutaneous emphysema, chest pressure."
COVID-19 Pneumonia,"High fever, acute loss of smell, acute loss of taste, high shortness of breath, cytokine storm, body aches, critical conjunctivitis."
Tuberculosis,"Extreme coughing up blood, in combination with extreme persistent cough, pain with breathing."
Pleural Effusion,Decreased breath sounds and orthopnea associated with dry cough and chest pain connected with difficulty breathing when lying down and stony dullness associated with asymmetrical chest expansion.
COPD,"Significant persistent cough, end-stage chest tightness, end-stage wheezing, unexplained weight loss, end-stage decreased exercise tolerance, reducing stamina."
Tuberculosis,"Swollen lymph nodes, persistent cough and reduced lung function associated with chest pain, night sweats and coughing up blood simultaneous with unintended weight loss, fever and weakness (particularly concerning) simultaneous with weight loss (clearly concerning)."
Heart Failure,"Severe swollen ankles, shortness of breath, swollen legs, ascites with mild rapid heartbeat, decreased alertness, persistent cough, orthopnea, jugular vein distention, fluctuating."
COVID-19 Pneumonia,"Recent onset, especially worsening fever, significantly worsening loss of taste, nausea, chest pain, especially worsening myalgia."
COVID-19 Pneumonia,"Severe loss of taste with mild fever, loss of smell, shortness of breath, bilateral lung involvement."
Pleural Effusion,"Severe shortness of breath, dyspnea with mild difficulty breathing when lying down, reduced tactile fremitus."
Pleural Effusion,"Significant shortness of breath, significant chest pain, rapid breathing, night sweats, mediastinal shift, massive hiccups, pleuritic pain, mild dyspnea, acute."
Pneumonia,"Mild fever, simultaneous with difficulty breathing, moderate chest pain, intense shortness of breath, cough, chills."
COPD,"Progressive, obviously mild wheezing, mild difficulty breathing, mild cyanosis, frequent respiratory infections, obviously significant bluish lips or fingernails."
Tuberculosis,"Extreme fever, extreme persistent cough, joint pain, extreme feverish at night, gradually worsening."
